Topic;Topic Number;Moscow Institute of Physics and Technology;Novosibirsk State University;St. Petersburg State University;Tomsk Polytechnic University;I.M. Gubkin Russian State University of Oil and Gas;Peter the Great St. Petersburg Polytechnic University;St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO);Tyumen State University;Tyumen State Oil and Gas University;Ufa State Petroleum Technological University;Skolkovo Institute of Science and Technology
"Western Siberia; Catagenesis; Jurassic";T.38138;0.009451715;0.064105335;0.00210566;0.171918643;0.070758495;0;0;0.026874763;0.083094897;0.011362988;0.101658654
"Kimberlite; Xenolith; Cratons";T.653;0;0.417447343;0.028233194;0;0.007702339;0;0;0;0;0;0
"Oil Recovery; Oil Well Flooding; Horizontal Wells";T.91864;0;0;0;0;0;0;0;0;0;0.633075267;0
"Fold Belt; Terrane; Granitoid";T.7408;0;0.2405788;0.06880872;0.009156921;0;0;0;0;0;0;0
"Nepa; Riphean; Catagenesis";T.58572;0;0.021981595;0.006131321;0.016556583;0.301801592;0;0;0;0.00306566;0.038155528;0.012906434
"Arctic Ocean; Dmitri Mendeleev; Large Igneous Province";T.6092;0.01760856;0.065225906;0.123284263;0.008804859;0.012061712;0;0;0;0.012201599;0;0
"Permafrost; Kara Sea; Talik";T.21902;0.021888789;0.020625101;0.036775867;0.092766273;0.040870171;0.015726715;0;0.062437503;0.024028548;0;0.05259759
"Arctic Ocean; Chukchi Sea; Halocline";T.4424;0.016920915;0.036654924;0.038978622;0.107166054;0;0.064353277;0;0;0;0;0.004794054
"Cratons; Riphean; Laurentia";T.19118;0;0.176420261;0.066790965;0.006664654;0.027466788;0;0;0;0;0;0
"Magnetotails; Geomagnetic Tail; Current Sheets";T.246;0.033080723;0;0.128403616;0;0;0;0;0;0;0;0
"Fracture Propagation; Hydraulic Fracturing; Horizontal Wells";T.1009;0.043753879;0.030975509;0;0.014742106;0.003322432;0.036701923;0;0;0.012196233;0.021648809;0.051398223
"Gravity Gradiometers; Strapdown Inertial Navigation System; Airborne";T.26910;0.002567883;0.018645781;0;0;0;0.009437573;0.164230384;0;0;0;0
"Gas Hydrates; Krishna; Methane";T.382;0.038745431;0.031049385;0;0.001714549;0.027494112;0;0;0.010727211;0;0.095532464;0.035261302
"Magnetotellurics; Electromagnetic Method; Audio Frequencies";T.899;0.041814652;0.024944446;0.022453637;0;0;0;0;0.00178566;0.012907344;0;0.020833069
"Lake Baikal; Siberia; Holocene";T.13803;0;0.078753744;0.02946608;0.005846876;0.002923438;0;0;0;0.01407147;0;0
"Thermal Conductivity; Core Logging; Sandstones";T.23409;0.012130189;0;0;0;0.026900101;0;0.009931558;0.002958994;0.002958994;0;0.10565951
"Meridional Circulation; Gulf Stream; North Atlantic";T.3933;0;0.045017798;0.087139055;0;0;0;0;0;0;0;0
"Gehlenite; Fluorapatite; New Mineral";T.23219;0;0.077395232;0.094672962;0.005959803;0;0;0;0;0;0;0
"Wave Equations; Finite Difference Scheme; Isotropic Media";T.8236;0.083760664;0.009991905;0;0;0;0;0;0;0;0;0.006068092
"Western Siberia; Jurassic; Arctic Regions";T.59681;0;0.176233692;0;0.005447883;0;0;0;0;0.030225367;0;0
"Carbonate Rocks; Flow in Porous Media; Microanalytical Model";T.5153;0.006071885;0.018300145;0;0.021486747;0.017613975;0.00178566;0;0.020338189;0.006411558;0.00178566;0.038586467
"Lunar Dust; Magnetic Anomalies; Solar Wind";T.15788;0.074653494;0;0.024936813;0;0;0;0;0;0;0;0
"Ice-Dammed Lake; Chuya Earthquake 2003; Tuva";T.40143;0;0.150370829;0.028598125;0.010789099;0;0;0;0;0;0;0
"Diabase; Melt Inclusion; Magmatism";T.24090;0;0.094203735;0.018605673;0.019454219;0.004274549;0;0;0;0;0;0
"Gold Deposits; P-Atom; Black Shale";T.31894;0;0.020572605;0;0.109423764;0;0;0;0;0;0;0
"Full-Waveform; Subsalt Imaging; Wave Equations";T.1685;0.021156861;0.005143648;0.017730992;0;0.001714549;0;0;0;0.001714549;0;0.018297115
"History Matching; Ensemble Kalman Filter; Reservoir Simulation";T.3769;0.015711728;0;0;0.033261547;0;0;0;0.001856771;0.006621828;0.001856771;0.022605183
"Earth Core; Core-Mantle Boundary; Acoustic Wave Velocity";T.13376;0.015250649;0.045704882;0.004237255;0;0.006210016;0;0;0;0;0;0.010334046
"Volcanoes; Magma; Volcanic Eruptions";T.16563;0;0.062800727;0.005747496;0.007645355;0;0;0;0;0;0;0.010389706
"Ice Thickness; Cryosat; Arctic Ocean";T.752;0.014929208;0.008213531;0.028849015;0;0;0;0.005949038;0.011409755;0;0;0
"Massifs; Exhumation; Kazakhstan";T.27261;0;0.124960019;0;0.012499557;0;0;0;0;0;0;0
"Spectral Decomposition; Seismic Data; Salt Dome";T.6883;0.001821216;0.001821216;0;0.024585231;0.012127589;0;0;0;0.001821216;0;0.015278636
"Gravity Anomalies; Magnetotellurics; Forward Modeling";T.8923;0.033644511;0;0.012560516;0.006032537;0;0;0;0;0.001998994;0;0.038570552
"Induced Polarization; Electrical Resistivity; Metallic Mineral";T.9758;0.008976808;0.018460584;0.025145807;0;0.002070105;0;0;0;0.002070105;0.032867206;0
"Earth-Ionosphere Waveguide; Extremely Low Frequencies; Lower Ionosphere";T.22164;0;0.009249147;0.063028304;0;0;0;0;0;0;0;0
"Gravity Waves; Mesopause; Airglow";T.1376;0.016789308;0.009203257;0.046067905;0;0;0;0;0;0;0;0
"Oil Recovery; Ultrasonic Processing; Microtremor";T.25927;0.005597987;0;0;0;0.011422424;0;0;0.006843458;0.017246861;0.023134542;0
"Sulfidation; Lead Sulfide; Zinc Sulfide";T.46051;0;0.115652579;0;0.013566224;0;0;0;0;0;0;0
"Tohoku Earthquake 2011; Tsunamis; Subduction Zone";T.800;0.009125754;0.026228967;0;0;0;0.004354271;0;0;0;0;0
"Moment Tensor; Microseismic Monitoring; Full-Waveform";T.8560;0;0.025285561;0.012001381;0;0.014191269;0.001963438;0;0;0;0;0.003962432
"Electron Precipitation; Energetic Particles; Atmospheric Ionization";T.15673;0;0;0.059029487;0.015293921;0;0;0;0;0;0;0
"Magnetopause; Current Sheets; Electron Diffusion";T.2572;0;0;0.044332969;0;0;0;0;0;0;0;0
"Phytane; Source Rock; Terpanes";T.7472;0;0.01445488;0.004353543;0.013096184;0.005372565;0;0;0;0;0;0
"Geostatistics; Multiple Realization; Normal Equations";T.11211;0.031777073;0;0.049018849;0.00803153;0.001998994;0.026452021;0.001998994;0;0.005052565;0.019775262;0.031777073
"Ice Shelf; Grounding Line; Cryosat";T.826;0;0.05964345;0.035968919;0;0;0;0;0;0;0;0
"Lower Mantle; Pyrolite; Stishovite";T.2270;0.017943563;0.024279059;0.013074904;0;0;0;0;0;0;0;0.010484284
"Plasma Bubbles; Spread F; Ionospherics";T.2806;0;0;0.033935679;0;0;0;0;0;0;0;0
"Seismic Noise; Microtremor; Coda";T.4075;0.00178566;0.00178566;0.027499941;0.004842726;0;0;0;0;0;0;0.00178566
"Atmospheric Electricity; Galactic Cosmic Rays; Forbush Decreases";T.6931;0;0;0.038990513;0.002638994;0;0.003658015;0;0;0;0;0
"Acoustic Logging; Boreholes; Stoneley Wave";T.12357;0.032678648;0.002212327;0.004424654;0;0;0.002212327;0;0;0;0.007769228;0.017576498
"Serpentine Asbestos; Cronstedtite; Lizardite";T.20795;0.004416771;0;0.020497702;0;0;0.015288358;0.046204748;0;0;0;0
"Electrical Resistivity Tomography; Resistivity Imaging; Geoelectrics";T.2626;0;0.010209328;0.008928434;0.005531695;0.008963857;0;0;0;0;0;0
"Seismic Attenuation; P Wave; Biot Theory";T.4849;0.020270274;0.020411503;0.001927883;0;0;0.003060129;0;0;0.007556623;0.004984948;0
"Seismic Data; Diffraction; Prestack Migration";T.10396;0;0.031580368;0.024451869;0.002141216;0.015614948;0;0;0;0;0;0
"Stress Waves; Fractured Medium; Seismic Anisotropy";T.10420;0.050180243;0;0.006850314;0;0;0.007038873;0;0;0;0;0.002283438
"Self Potential; Electrokinetics; Electrical Resistivity Tomography";T.10487;0;0.002354549;0.022954595;0.005239666;0;0;0;0;0.002354549;0.002354549;0.002354549
"Electromagnetic Survey; Massive Sulfide; Gas Hydrates";T.12314;0.012543608;0.02055823;0;0;0;0;0;0.033271433;0.002247883;0;0
"Rift Zone; Geodynamics; Geological Faults";T.15069;0.008704453;0.01165616;0.00848587;0.002816771;0;0;0.002816771;0.002816771;0.016963873;0;0
"Value of Information; Net Present Value; Hydrocarbon Reserve";T.24253;0;0.002390105;0;0.014691084;0.00720587;0;0;0.00720587;0.002390105;0.006025681;0
"Induction Logging; Geoelectrics; Mud";T.51496;0;0.081242933;0;0;0;0;0;0.033831711;0.033831711;0;0
"Hydrothermal Plume; Massive Sulfide; Mid-ocean Ridges";T.2469;0;0;0.035095002;0.002176771;0;0;0;0;0;0;0
"Wadsleyite; Olivine; Lower Mantle";T.7837;0.017031639;0.032958291;0.006841421;0;0;0;0;0;0;0;0
"Apatites; Pyromorphite; Hydroxyapatites";T.9837;0;0.020197408;0.016037674;0.002852327;0;0;0.009349554;0.029460117;0.029460117;0;0.012498132
"Pegmatite; Granite; Immiscibility";T.22695;0;0.046126781;0.022854719;0.004807883;0;0;0;0;0;0;0
"Serpentinization; Peridotite; Lizardite";T.23634;0;0.005327387;0.003515793;0.002496771;0.0373092;0;0;0;0;0;0
"Russian Far East; Pacific Plate; Accretionary Prism";T.24166;0;0.036285625;0.005306687;0.029673983;0.004061216;0;0;0;0;0;0
"Directional Drilling; Trenchless Technology; Pipe Linings";T.29648;0;0;0;0.018810013;0.005090886;0;0;0;0.020273487;0.003338015;0
"Mid-ocean Ridges; Oceanic Crust; Ophiolite";T.725;0;0.013093121;0.02072362;0;0;0;0;0;0;0;0
"Radiation Belts; Hiss; Whistler";T.972;0.013547774;0;0.006689875;0;0;0;0;0;0;0;0.026519804
"Mantle Convection; Supercontinent; Lithosphere";T.2159;0;0.021895512;0;0;0;0;0.01202339;0;0;0;0
"Isotropic Media; P Wave; Azimuth";T.2560;0.026199638;0.003891321;0.001927883;0.016194187;0.008986429;0;0;0;0.011137698;0.001927883;0
"Ice Core; Firn; Antarctica";T.2611;0;0;0.049755183;0;0;0;0;0;0;0;0
"Eikonal Equation; Fast Marching Method; Sweeping";T.13125;0.011441518;0.020492352;0.002496771;0;0;0;0;0;0.002496771;0;0.004993543
"Lower Mantle; Siderites; Calcium Magnesium Carbonate";T.25666;0.024663579;0.047452586;0.003670105;0;0;0;0;0;0;0;0.032194683
"Lithology; Geophysical Logging; Lithofacies";T.27782;0.007206599;0;0.002318994;0.037565524;0.002318994;0;0;0;0;0.011337186;0
"Very Low Frequencies; Vertical Electrical Sounding; Magnetotellurics";T.33565;0;0;0.049472248;0;0;0;0;0;0;0;0
"Thermosphere; Equatorial Electrojet; Ionospherics";T.1154;0.011651655;0;0.020614486;0;0;0;0;0;0;0;0
"Precipitable Water; Zenith; GNSS";T.4867;0.001892327;0;0.031028685;0;0;0.001892327;0;0;0;0;0
"Rotating Generators; Geodynamo; Rayleigh Number";T.4924;0;0;0.02500327;0;0;0;0.020009727;0;0.002496771;0;0
"Rayleigh Waves; Dispersion Curves; Microtremor";T.6245;0;0.014640673;0.013507996;0;0.001998994;0;0;0;0;0;0
"Ground Penetrating Radar; Geophysical Survey; Archaeological Prospection";T.12406;0;0.010140685;0.005052565;0;0.008102642;0.002034549;0.002034549;0;0;0;0
"Blowouts; Hypolimnion; Aerators";T.15382;0;0;0;0.020316031;0.027108631;0;0;0;0.00242566;0.014267183;0.00242566
"Vibroseis; Source Separation; Seismic Data";T.18347;0;0;0.017556394;0;0.009545266;0;0;0;0;0;0
"Gold Deposits; Ores; Arsenopyrite";T.32489;0;0.060513448;0;0;0;0;0;0;0;0;0
"Seismic; Geophysical Logging; Western Siberia";T.47311;0;0;0;0.049314377;0;0;0;0.00562566;0.011781888;0;0
"Sprite; Thunderstorms; Elves";T.5744;0.022933612;0;0.011088298;0.005495842;0;0;0;0;0;0;0
"Polar Mesospheric Cloud; Mesosphere; Aeronomy";T.8189;0.018589377;0.008515596;0.006704002;0.003030105;0;0;0.005521047;0;0;0;0
"Fault Scarp; Cenozoic; Fold and Thrust Belt";T.15461;0;0.035203524;0.014967363;0;0;0;0;0;0;0;0
"Geomagnetic Field; Secular Variations; CHAMP";T.3956;0;0.014260194;0.010961957;0;0;0;0;0;0;0;0
"Fault Gouge; Pseudotachylite; Cataclasite";T.4296;0.015478423;0.005133728;0;0.01543717;0;0.008870141;0;0;0;0;0.001963438
"Dayglow; Mesosphere; Airglow";T.19196;0;0.047925061;0.034662259;0;0;0;0;0;0;0;0
"Source Rock; Jurassic; Cretaceous";T.66869;0.017525709;0.030486876;0;0.093081329;0;0;0;0;0;0;0
"Perfectly Matched Layers; Absorbing Boundary Conditions; Artificial Boundary";T.4641;0.023350955;0.014954545;0;0;0;0;0;0;0;0;0
"Fault Zone; Sandstones; Footwall";T.6763;0;0.003962432;0;0.008982935;0.02494804;0;0;0;0.00464178;0;0.02494804
"Siderophile Elements; Peridotite; Platinum Group Element";T.6766;0.015948064;0.016036961;0.018726514;0;0;0;0;0;0;0;0
"Platinum Group Element; Chromitite; Layered Intrusion";T.8995;0;0.024014554;0.015527807;0.022614473;0;0;0;0;0;0;0
"Ring Currents; Magnetic Storms; Magnetospheres";T.9844;0;0;0.048347022;0;0;0;0;0;0;0;0
"Thundercloud; Lightning; Hydrometeors";T.21247;0.022200045;0;0;0.00664397;0;0;0;0;0;0;0
"Caucasus; Arabian Plate; Armenia";T.21637;0;0.022713837;0.020120749;0;0.00338566;0;0;0;0;0;0
"Volcanology; Volcanic Eruptions; Unrest";T.25155;0;0;0.064962227;0;0;0;0.040734755;0;0;0;0
"Reservoir Characterization; Multi-Attribute; Seismic Data";T.35115;0;0;0;0.007731321;0.037573491;0;0;0;0;0;0
"Water-Rock Interaction; Granite; Host Rock";T.39940;0;0.0125424;0.045692746;0.025084799;0;0;0;0;0;0;0
"Perth; Western Australia; Compressed Gas";T.64720;0;0;0;0;0.084211998;0;0;0;0;0;0
"Cloud to Ground Lightning; Lightning; Thunderstorms";T.919;0.009905342;0;0.003677987;0.005534759;0;0;0;0;0;0;0
"Ambiguity Resolution; Attitude Determination; GNSS";T.3445;0.001856771;0;0;0;0;0.036131345;0.01719996;0;0;0;0
"Mars Atmosphere; Ionospheres; Mars";T.3690;0.021281148;0;0.0133149;0;0;0;0;0;0;0;0
"Field Aligned Currents; Polar Caps; Magnetosphere-Ionosphere Coupling";T.4136;0;0;0.019752243;0;0;0;0;0;0;0;0
"Ground Penetrating Radar; Full-Waveform; Radar Data";T.4915;0.001963438;0.005246953;0.001963438;0.001963438;0.001963438;0;0;0;0.006226925;0;0
"Iron Meteorites; Ureilites; Kamacite";T.8020;0;0.019717831;0.014008374;0;0;0;0;0;0;0;0
"Porphyry; Silicate Melt; Magma";T.9364;0;0.012181494;0.011826369;0.002176771;0;0;0;0;0;0;0
"Oceanic Crust; Bay of Bengal; Spreading Center";T.11411;0;0;0.025435601;0;0;0;0;0;0;0;0
"Mesoscale Eddy; Drifter; Rossby Number";T.12996;0;0;0.015739997;0;0;0;0;0;0;0;0
"Arrival Time; P Wave; Seismic";T.13257;0.008044348;0.014812323;0.003386687;0;0;0;0.002141216;0;0;0;0
"Monazite; Xenotime; Rhabdophane";T.15029;0;0.010366538;0.018843813;0;0;0;0;0;0;0;0.002710105
"Hydrocarbon Seepage; Soil Gas; Hyperspectral Remote Sensing";T.17897;0;0;0;0.014536458;0;0;0;0;0.009552537;0;0
"Hydrocarbon Resource; Natural Gas Resources; Oil Reserves";T.22810;0;0.018077174;0;0.002994549;0.002994549;0.027084437;0;0;0;0;0
"Astrobleme; Kimberlite; Moissanite";T.34124;0.018126989;0.055100013;0;0;0;0;0;0;0;0;0
"Solar Tide; Radon; Earthquakes";T.36168;0.012427005;0.007517987;0;0.003776771;0;0;0;0;0.003776771;0;0
"Black Sea; Crimea; Albian";T.36443;0;0;0.031154646;0;0.020025858;0;0;0;0;0;0
"Core-Mantle Boundary; Batholiths; Mantle Plume";T.57408;0;0.178529212;0;0;0;0;0;0;0;0;0
"Total Electron Content; Ionospherics; Ionosondes";T.2075;0.011454932;0;0.0115874;0;0;0;0;0;0;0;0
"Sicily; Volcanoes; Aeolian Islands";T.6125;0;0.018856929;0;0;0;0;0.007578036;0;0;0;0
"MESSENGER (Spacecraft); Mercury Surface; Exosphere";T.7613;0.004243813;0;0.023636558;0.018373724;0;0;0;0;0;0;0
"Thermochronology; Closure Temperature; Exhumation";T.10529;0;0.010202605;0.018685279;0;0;0;0;0;0;0;0
"Solar Activity; Ionospherics; Columbus Module";T.15062;0;0;0.00845934;0;0;0.025939341;0;0;0;0;0
"Polar Caps; Ionospherics; Magnetic Storms";T.20215;0;0;0.020603226;0;0;0;0;0;0;0;0
"Pyrope; Grossular; Garnets";T.22253;0;0.007870777;0.003634549;0.013532009;0;0;0;0;0;0;0.007144513
"Pingo; Palsa; Permafrost";T.22937;0;0;0.021196442;0.012975938;0;0;0;0;0.015490314;0;0
"Thermosphere; Molecular Relaxation; Mixing Ratios";T.23325;0;0;0.062037851;0;0;0;0;0;0;0;0
"Ionospheres; Plasma Clouds; Upper Atmosphere";T.25611;0.031558543;0;0;0;0;0.014049163;0;0;0;0;0
"Geodynamics; Sine-Gordon Equation; Parametric Excitation";T.38467;0;0.032688322;0;0;0;0;0;0;0;0;0
"Permeability; Filtration; Oil Fields";T.66679;0;0;0;0.019350105;0.077740093;0;0;0.046965608;0;0;0
"Petroleum Chemistry; Enhanced Oil Recovery; Oil Fields";T.79471;0;0;0;0.019685173;0;0.044982923;0;0;0;0.005483438;0
"Paleointensity; Geomagnetic Field; Brunhes Chron";T.827;0;0.006032967;0.029864212;0;0;0;0;0;0;0;0
"Magnetotellurics; Asthenosphere; Olivine";T.3887;0.00446021;0.007177601;0;0.002247883;0;0;0;0;0;0;0
"Reservoir Characterization; Seismic Data; Inversions";T.4521;0;0;0;0;0.007320419;0;0;0;0.001821216;0;0
"Magma; Lava Dome; Volcanoes";T.5254;0;0.023562251;0;0;0;0;0;0;0;0;0
"Tektites; Moldavite; Libyan Desert";T.9831;0.00370566;0;0.016216893;0;0.005630479;0;0;0;0;0;0
"3D Modeling; Geological Structure; Geologic Models";T.10124;0;0;0;0.012819887;0.002176771;0;0;0;0.004317987;0;0.002176771
"Magnetosheath; Magnetic Scales; Solar Wind";T.12270;0;0;0.021066176;0;0;0;0;0;0;0;0
"Induction Logging; Horizontal Wells; Electrical Resistivity";T.12339;0;0.016555142;0;0;0.002176771;0;0;0;0;0;0
"Zircon; Shock Metamorphism; Impact Melts";T.12738;0.006637412;0.006637412;0.012665858;0.004939042;0;0;0;0;0;0;0
"Total Least Squares; Errors-in-variables Model; Coordinate Transformations";T.24211;0;0.013427976;0;0;0;0;0;0;0;0;0
"Mud Volcano; Mudflow; Sakhalin";T.24824;0;0.009172504;0.004473028;0.024174114;0.013983897;0;0;0;0;0;0
"Interplanetary Shock Waves; Magnetopause; Field Aligned Currents";T.25773;0;0;0.035820705;0;0;0;0;0;0;0;0
"Morse Index; Anisotropic Media; Wave Field";T.32441;0;0;0.038149437;0;0;0;0;0;0;0;0
"Pressure Pulses; Shales; Gas Permeability";T.36464;0;0;0;0.027220085;0;0;0;0;0;0;0.007944654
"Hydraulic Head; Groundwater Flow; Stagnation Point";T.38409;0;0;0.007441047;0;0.004950105;0;0;0;0.00990021;0.004950105;0
"Sakhalin; Earthquakes; Fault Zone";T.46932;0;0.020635222;0.011393245;0;0.024371635;0;0;0;0;0;0
"Xenolith; Orthopyroxene; Peridotite";T.52732;0;0.094331007;0;0;0;0;0;0;0;0;0
"Inverse Problems; Coal Seam; Poroelasticity";T.56096;0;0.066231768;0;0;0;0;0;0;0;0;0
"Seismic Anisotropy; Wave Splitting; Upper Mantle";T.3132;0;0.02972242;0.02485376;0.002141216;0;0;0;0;0;0;0
"Solar Cycles; Radiometers; Maunder Minimum";T.5546;0;0;0.005411614;0.008183507;0;0;0;0.002354549;0;0;0
"Polar Motion; Chandler Wobble; Nutation";T.5568;0;0;0.011762098;0;0;0;0.002816771;0;0;0;0
"Gravimeters; Polar Motion; Tidal Constituent";T.5748;0.002318994;0;0;0;0;0;0.009674372;0;0;0;0
"Gorkha Earthquake 2015; Himalayan Region; Aftershock";T.5839;0.003852701;0.016310475;0.001927883;0;0;0;0;0;0;0;0
"Infrasound; Volcanoes; Volcanic Eruptions";T.7529;0.021758076;0.018095109;0;0;0;0;0;0;0;0;0
"Barents Sea; Svalbard and Jan Mayen; Triassic";T.8694;0;0;0.006455113;0;0.006341888;0;0;0;0;0;0
"Volcanoes; Degassing; Volcanic Eruptions";T.8839;0.00242566;0.005143052;0.00242566;0.006162073;0;0;0;0;0;0;0
"Pore Pressure; Hyperbarism; Hydrocarbon Generation";T.9362;0.00210566;0;0;0.004211321;0.00210566;0;0;0;0;0;0
"Submarine Landslide; Tsunamis; Debris Flow";T.10540;0.006316981;0;0;0;0;0.003464356;0;0;0;0;0
"Leucosome; Migmatite; Granulite Facies";T.10940;0;0.01412087;0.002958994;0;0;0;0;0;0;0;0
"Carbonate Rocks; Wave Velocity; Reservoir Characterization";T.13393;0;0;0;0;0.008564864;0;0;0;0;0;0
"Cold Seep; Mud Volcano; Gas Hydrates";T.13752;0;0;0.005320829;0.00784587;0;0;0;0;0;0;0
"Continental Margin; Grainstone; Geological Faults";T.14499;0;0;0.017448982;0.002390105;0;0;0;0;0.002390105;0;0.002390105
"Formation Water; Sandstones; Cementation";T.16885;0;0;0;0.002603438;0.005242432;0;0;0;0.008151445;0;0
"D Region; Lower Ionosphere; Very Low Frequencies";T.21223;0.003030105;0;0.049999964;0;0;0;0;0;0;0;0
